FIPS,trump16,clinton16,otherpres16,romney12,obama12,otherpres12,demsen16,repsen16,othersen16,demhouse16,rephouse16,otherhouse16,repgov14,demgov14,white_pct,black_pct,hispanic_pct,nonwhite_pct,foreignborn_pct,female_pct,age29andunder_pct,age65andolder_pct,median_hh_inc,clf_unemploy_pct,lesshs_pct,lesscollege_pct,lesshs_whites_pct,lesscollege_whites_pct,rural_pct,ruralurban_cc,Density,TotalCongregations,TotalAdherents,TotalAdherentsperThousand,EvangelicalProtestantAdherents,EvangelicalProtestantsPerThous,BlackProtestantAdherents,BlackProtestantsperThousand,MainlineProtestantAdherents,MainlineProtestantsperThousand,CatholicAdherents,CatholicAdherentsperThousand,OrthodoxAdherents,OrthodoxAdherentsperThousand,MuslimsEstimated,MuslimsEstimatedperThousand,ConservativeJudaismAdherents,ConservativeJudaismperThou,OrthodoxJudaismAdherents,OrthodoxJudaismperThousand,ReconstructionistJudaism,ReconstructionismJudaismperThou,ReformJudaismAdherents,ReformJudaismperThousand,TotalJudaismAdherents,TotalJudaismAdherentsperThousand
1001,18172,5936,865,17379,6363,190,6331,18220,62,7544,14315,2258,9427,3638,75.68348199,18.37090592,2.5723,24.31651801,1.838362186,51.17622482,40.03705789,13.97845556,53099,5.591657263,12.41704602,75.40722865,10.00211164,74.06560146,42.00216232,2,93,106,36938.00,676.88,27503.00,503.99,2291.00,41.98,4522.00,82.86,1766.00,32.36,.,.,.,.,.,.,.,.,.,.,.,., .   ,0.00
1003,72883,18458,3874,66016,18424,898,19145,74021,248,0,76995,1991,37650,8416,83.17878803,9.225602727,4.3667,16.82121197,3.2695103,51.19492757,35.47441231,18.71485139,51365,6.286843229,9.972417933,70.45288897,7.842226994,68.40560728,42.27909911,3,128,271,96918.00,531.74,57986.00,318.14,3130.00,17.17,20075.00,110.14,14009.00,76.86,190.00,1.04,.,.,.,.,.,.,.,.,.,., .   ,0.00
1005,5454,4871,144,5550,5912,47,4777,5436,16,5297,4286,463,3111,3651,45.88562411,47.88832945,4.3098,54.11437589,2.85939731,46.49808372,37.66438716,16.52889457,33956,12.82473827,26.23592756,87.13221298,19.57975167,81.36474583,67.7896347,6,30,89,15101.00,549.99,8793.00,320.25,3328.00,121.21,2140.00,77.94,575.00,20.94,.,.,.,.,.,.,.,.,.,.,.,., .   ,0.00
1007,6738,1874,207,6132,2202,86,2082,6612,17,1971,6670,15,3525,1368,74.76519582,21.21212121,2.2240,25.23480418,1.351231614,46.46464646,37.3294347,14.8856991,39776,7.14682672,19.3015873,88,15.02049009,87.47177386,68.35260746,1,36,81,11430.00,498.80,10159.00,443.33,966.00,42.16,302.00,13.18,.,.,.,.,.,.,.,.,.,.,.,.,.,., .   ,0.00
1009,22859,2156,573,20757,2970,279,2980,22169,48,2390,22367,47,12074,2178,87.65770137,1.557950922,8.7273,12.34229863,4.271800915,50.48523499,37.24005268,17.19291557,46212,5.953832753,19.96858533,86.95024321,16.64336837,86.16360993,89.95150204,1,89,156,37352.00,651.62,29223.00,509.80,58.00,1.01,3035.00,52.95,4744.00,82.76,.,.,.,.,.,.,.,.,.,.,.,., .   ,0.00
1011,1140,3530,40,1251,4061,10,3364,1167,6,3517,889,80,747,2440,21.68309325,75.50227445,0.1232,78.31690675,1.516300227,45.80174375,37.93593632,15.13457165,29335,13.25852037,33.43788354,89.74498841,11.7803838,79.15778252,51.37438153,6,17,47,6300.00,577.24,2152.00,197.18,3445.00,315.65,601.00,55.07,49.00,4.49,.,.,.,.,.,.,.,.,.,.,.,., .   ,0.00
1013,4901,3726,105,5087,4374,35,3663,4840,7,4088,3918,321,3148,2741,52.78106509,43.51577909,1.2475,47.21893491,1.395463511,53.04733728,37.05621302,18.12623274,34315,9.804827347,18.94042584,83.91999426,14.60417986,80.07599747,71.23215735,6,26,92,12278.00,586.15,8653.00,413.09,1657.00,79.10,1653.00,78.91,77.00,3.68,.,.,.,.,.,.,.,.,.,.,.,., .   ,0.00
1015,32865,13242,1757,30278,15511,468,14152,32976,69,14000,33175,75,17688,9082,72.99776499,20.33171388,3.4362,27.00223501,2.39379374,51.89803509,38.78308294,15.93072323,41954,11.6818216,17.66313675,82.34703347,16.39951086,81.64061209,33.69682556,3,191,281,84615.00,713.62,67564.00,569.81,5163.00,43.54,7066.00,59.59,3192.00,26.92,40.00,0.34,308.00,2.60,.,.,.,.,.,.,113.00,0.95,113.00,0.95
1017,7843,5784,273,7626,6871,114,5845,7865,18,5796,7907,16,3635,4587,56.74348874,40.47857017,0.4351,43.25651126,0.990652008,52.08713034,35.87218531,18.38732436,36027,7.489945276,19.73673179,87.51572063,15.29535128,83.85879063,49.14803449,6,57,119,22251.00,650.33,12903.00,377.12,5780.00,168.93,3080.00,90.02,249.00,7.28,.,.,.,.,.,.,.,.,.,.,.,., .   ,0.00
1019,8953,1547,233,7506,2132,141,1915,8636,7,1702,8707,12,5007,1868,91.87164536,4.606711202,1.5639,8.128354636,0.725952813,50.25292505,32.71035255,20.32281731,38925,5.855731043,18.71723548,86.03830106,19.25640731,85.78324331,85.73627304,6,47,79,12455.00,479.24,10865.00,418.06,.,.,1590.00,61.18,.,.,.,.,.,.,.,.,.,.,.,.,.,., .   ,0.00
