FIPS,Year,Month,D,G,L,N,O,R,Total,dPct,rPct,leanD,leanR,unaffiliatedPct,otherPct,dDRPct,rDRPct,CountyName,StateName,StateAbbr
1001,2016,11,NA,NA,NA,34310,NA,NA,34310,NA,NA,NA,NA,1,NA,NA,NA,Autauga,Alabama,AL
1003,2016,11,NA,NA,NA,128743,NA,NA,128743,NA,NA,NA,NA,1,NA,NA,NA,Baldwin,Alabama,AL
1005,2016,11,NA,NA,NA,16218,NA,NA,16218,NA,NA,NA,NA,1,NA,NA,NA,Barbour,Alabama,AL
1007,2016,11,NA,NA,NA,12108,NA,NA,12108,NA,NA,NA,NA,1,NA,NA,NA,Bibb,Alabama,AL
1009,2016,11,NA,NA,NA,34276,NA,NA,34276,NA,NA,NA,NA,1,NA,NA,NA,Blount,Alabama,AL
1011,2016,11,NA,NA,NA,7258,NA,NA,7258,NA,NA,NA,NA,1,NA,NA,NA,Bullock,Alabama,AL
1013,2016,11,NA,NA,NA,13171,NA,NA,13171,NA,NA,NA,NA,1,NA,NA,NA,Butler,Alabama,AL
1015,2016,11,NA,NA,NA,67364,NA,NA,67364,NA,NA,NA,NA,1,NA,NA,NA,Calhoun,Alabama,AL
1017,2016,11,NA,NA,NA,22002,NA,NA,22002,NA,NA,NA,NA,1,NA,NA,NA,Chambers,Alabama,AL
1019,2016,11,NA,NA,NA,15090,NA,NA,15090,NA,NA,NA,NA,1,NA,NA,NA,Cherokee,Alabama,AL
1021,2016,11,NA,NA,NA,26552,NA,NA,26552,NA,NA,NA,NA,1,NA,NA,NA,Chilton,Alabama,AL
1023,2016,11,NA,NA,NA,10729,NA,NA,10729,NA,NA,NA,NA,1,NA,NA,NA,Choctaw,Alabama,AL
1025,2016,11,NA,NA,NA,18789,NA,NA,18789,NA,NA,NA,NA,1,NA,NA,NA,Clarke,Alabama,AL
1027,2016,11,NA,NA,NA,9697,NA,NA,9697,NA,NA,NA,NA,1,NA,NA,NA,Clay,Alabama,AL
1029,2016,11,NA,NA,NA,9917,NA,NA,9917,NA,NA,NA,NA,1,NA,NA,NA,Cleburne,Alabama,AL
1031,2016,11,NA,NA,NA,29875,NA,NA,29875,NA,NA,NA,NA,1,NA,NA,NA,Coffee,Alabama,AL
1033,2016,11,NA,NA,NA,34745,NA,NA,34745,NA,NA,NA,NA,1,NA,NA,NA,Colbert,Alabama,AL
1035,2016,11,NA,NA,NA,10047,NA,NA,10047,NA,NA,NA,NA,1,NA,NA,NA,Conecuh,Alabama,AL
1037,2016,11,NA,NA,NA,7824,NA,NA,7824,NA,NA,NA,NA,1,NA,NA,NA,Coosa,Alabama,AL
1039,2016,11,NA,NA,NA,22702,NA,NA,22702,NA,NA,NA,NA,1,NA,NA,NA,Covington,Alabama,AL
1041,2016,11,NA,NA,NA,9525,NA,NA,9525,NA,NA,NA,NA,1,NA,NA,NA,Crenshaw,Alabama,AL
